Ferguson Fire & Fabrication Price Book    Net Price List
Effective: 2/23/2022    METRO FIRE EQUIPMENT INC
Gemini Trilogie           Abbr     Size                  Description                              Finish     Price Listno               
---------------------------------------------------------------------------------------------------------------------------------------
SBA112,A001JG,HSBAE01,1.5 x 1,"Sway Brace Afcon E 01",Blk,$11.85,09-003-3-01-1-1510
,C9F,,,"3/4 WROT CXC 90 ELL 7/8 OD",,$5.53,
,C9G,,,"1 WROT CXC 90 ELL 1-1/8 OD",,$6.73,
,C9J,,,"1-1/2 WROT CXC 90 ELL 1-5/8 OD",,$15.54,
,C9K,,,"2 WROT CXC 90 ELL 2-1/8 OD",,$28.31,
,CCD,,,"1/2 WROT CXC COUP 5/8 OD",,$1.88,
,CFAFD,,,"3/4X1/2 WROT CXF ADPT",,$8.70,
,CFAG,,,"1 WROT CXF ADPT",,$12.73,
,CMAD,,,"1/2 WROT CXM ADPT",,$5.17,
,CMAF,,,"3/4 WROT CXM ADPT",,$8.64,
,CMAG,,,"1 WROT CXM ADPT",,$10.97,
,CMAJ,,,"1-1/2 WROT CXM ADPT",,$18.47,
,CMAK,,,"2 WROT CXM ADPT",,$31.26,
,CSCH,,,"1-1/4 WROT CXC SLIP COUP",,$7.77,
,CTD,,,"1/2 WROT CXCXC TEE 5/8 OD",,$4.21,
,CTF,,,"3/4 WROT CXCXC TEE 7/8 OD",,$10.14,
070966,DBPPEA135S4024G,PD4024,1,"Dom Sch 40 A135 24'",Blk,$3.35,12-008-1-01-1-0010
070967,DBPPEA135S4024H,PD4024,1.2,"Dom Sch 40 A135 24'",Blk,$4.58,12-008-1-01-1-0013
070968,DBPPEA135S4024J,PD4024,1.5,"Dom Sch 40 A135 24'",Blk,$5.42,12-008-1-01-1-0015
070969,DBPPEA135S4024K,PD4024,2,"Dom Sch 40 A135 24'",Blk,$6.80,12-008-1-01-1-0020
070980,DBPPEA135S40L,PD403521,2.5,"Dom Sch 40 A135 21'",Blk,$10.05,12-007-1-07-1-0025
070981,DBPPEA135S40M,PD403521,3,"Dom Sch 40 A135 21'",Blk,$13.23,12-007-1-07-1-0030
070983,DBPPEA135S40P,PD403521,4,"Dom Sch 40 A135 21'",Blk,$18.94,12-007-1-07-1-0040
070990,DBPPEA53BL,PD40A53B,2.5,"Dom Sch 40 A53B 21'",Blk,$13.44,12-007-1-09-1-0025
070991,DBPPEA53BM,PD40A53B,3,"Dom Sch 40 A53B 21'",Blk,$16.52,12-007-1-09-1-0030
070992,DBPPEA53BP,PD40A53B,4,"Dom Sch 40 A53B 21'",Blk,$23.54,12-007-1-09-1-0040
070994,DBPPEA53BU,PD40A53B,6,"Dom Sch 40 A53B 21'",Blk,$40.26,12-007-1-09-1-0060
079998,DBPPEA53BX,PD40A53B,8,"Dom Sch 40 A53B 21'",Blk,$60.60,12-007-1-09-1-0080
070083,DBPPEA53H,PD40A53,1.2,"Dom Sch 40 A53A 21'",Blk,$7.12,12-007-1-02-1-0013
072583,DBPRGRA135FLOW24H,PFD24G,1.2,"Dom Flow A135 GG 24'",Blk,$2.42,12-008-8-02-1-0013
072584,DBPRGRA135FLOW24J,PFD24G,1.5,"Dom Flow A135 GG 24'",Blk,$3.31,12-008-8-02-1-0015
072585,DBPRGRA135FLOW24K,PFD24G,2,"Dom Flow A135 GG 24'",Blk,$3.98,12-008-8-02-1-0020
072586,DBPRGRA135FLOW24L,PFD24G,2.5,"Dom Flow A135 GG 24'",Blk,$4.91,12-008-8-02-1-0025
072587,DBPRGRA135FLOW24M,PFD24G,3,"Dom Flow A135 GG 24'",Blk,$6.30,12-008-8-02-1-0030
072588,DBPRGRA135FLOW24P,PFD24G,4,"Dom Flow A135 GG 24'",Blk,$8.48,12-008-8-02-1-0040
072392,DBPRGRA135FLOWK,PFD21G,2,"Dom Flow A135 GG 21'",Blk,$3.98,12-007-8-02-1-0020
072576,DBPRGRA135FLOWL,PFD21G,2.5,"Dom Flow A135 GG 21'",Blk,$4.91,12-007-8-02-1-0025
072380,DBPRGRA135S1024H,PTWD24G,1.2,"Dom Sch 10 A135 GG 24'",Blk,$3.54,12-008-6-02-1-0013
072381,DBPRGRA135S1024J,PTWD24G,1.5,"Dom Sch 10 A135 GG 24'",Blk,$4.08,12-008-6-02-1-0015
072382,DBPRGRA135S1024K,PTWD24G,2,"Dom Sch 10 A135 GG 24'",Blk,$4.70,12-008-6-02-1-0020
072383,DBPRGRA135S1024L,PTWD24G,2.5,"Dom Sch 10 A135 GG 24'",Blk,$6.30,12-008-6-02-1-0025
072384,DBPRGRA135S1024M,PTWD24G,3,"Dom Sch 10 A135 GG 24'",Blk,$7.62,12-008-6-02-1-0030
072385,DBPRGRA135S1024P,PTWD24G,4,"Dom Sch 10 A135 GG 24'",Blk,$9.66,12-008-6-02-1-0040
072386,DBPRGRA135S1024U,PTWD24G,6,"Dom Sch 10 A135 GG 24'",Blk,$17.13,12-008-6-02-1-0060
072387,DBPRGRA135S1024X,PTWD24G,8,"Dom Sch 10 A135 GG 24'",Blk,$31.35,12-008-6-02-1-0080
072366,DBPRGRA135S10U,PTWD21G,6,"Dom Sch 10 A135 GG 21'",Blk,$17.13,12-007-6-02-1-0060
070112,DBSPA106BG,PD401061,1,"Dom Sch 40 SMLS 21'",Blk,$10.15,12-007-1-08-1-0010
070113,DBSPA106BH,PD401061,1.2,"Dom Sch 40 SMLS 21'",Blk,$13.73,12-007-1-08-1-0013
,DD151TP,,,"15-N-1 TP SD RED/BLAC",,$38.07,
,DDIRHCC,,,"3/8 THD DI ROD HLDR CHASER",,$41.60,
070821,DGPPEA135S10K,PTWD21,2,"Dom Sch 10 A135 21'",Glv,$7.59,12-007-6-01-2-0020
070824,DGPPEA135S10P,PTWD21,4,"Dom Sch 10 A135 21'",Glv,$12.51,12-007-6-01-2-0040
,DGPPEA135S40G,PD4021,1,"Dom Sch 40 A135 21'",Glv,$3.66,12-007-1-01-2-0010
,DGPPEA135S40H,PD4021,1.2,"Dom Sch 40 A135 21'",Glv,$4.64,12-007-1-01-2-0013
,DGPPEA135S40J,PD4021,1.5,"Dom Sch 40 A135 21'",Glv,$5.56,12-007-1-01-2-0015
,DGPPEA135S40K,PD4021,2,"Dom Sch 40 A135 21'",Glv,$9.88,12-007-1-01-2-0020
070883,DGPPEA135S40P,PD403521,4,"Dom Sch 40 A135 21'",Glv,$29.24,12-007-1-07-2-0040
070099,DGPPEA53BU,PD40A53B,6,"Dom Sch 40 A53B 21'",Glv,$52.08,12-007-1-09-2-0060
070092,DGPPEA53G,PD40A53,1,"Dom Sch 40 A53A 21'",Glv,$8.41,12-007-1-02-2-0010
070093,DGPPEA53H,PD40A53,1.2,"Dom Sch 40 A53A 21'",Glv,$11.36,12-007-1-02-2-0013
070094,DGPPEA53J,PD40A53,1.5,"Dom Sch 40 A53A 21'",Glv,$13.62,12-007-1-02-2-0015
070095,DGPPEA53K,PD40A53,2,"Dom Sch 40 A53A 21'",Glv,$18.28,12-007-1-02-2-0020
070096,DGPPEA53L,PD40A53,2.5,"Dom Sch 40 A53A 21'",Glv,$27.02,12-007-1-02-2-0025
070097,DGPPEA53M,PD40A53,3,"Dom Sch 40 A53A 21'",Glv,$34.14,12-007-1-02-2-0030
070098,DGPPEA53P,PD40A53,4,"Dom Sch 40 A53A 21'",Glv,$49.59,12-007-1-02-2-0040
070892,DGPRGRA135S10K,PTWD21G,2,"Dom Sch 10 A135 GG 21'",Glv,$8.07,12-007-6-02-2-0020
070893,DGPRGRA135S10L,PTWD21G,2.5,"Dom Sch 10 A135 GG 21'",Glv,$10.79,12-007-6-02-2-0025
070894,DGPRGRA135S10M,PTWD21G,3,"Dom Sch 10 A135 GG 21'",Glv,$13.26,12-007-6-02-2-0030
070874,DGPRGRA135S10P,PTWD21G,4,"Dom Sch 10 A135 GG 21'",Glv,$13.26,12-007-6-02-2-0040
545286,DRFSOFU,SOF,6,"Slip On Flng Dom",Blk,$65.22,08-003-1-01-1-0060
499000,DUAIPW,PIWA,,"POST INDICATOR WRENCH-ADJUSTABLE",Blk,$63.83,06-015-1-05-1-0000
576500,E0370037EG,HESS,.38,"Eye Socket Erico 37",Blk,$1.06,09-004-1-04-1-0004
576060,E1070075EG,HPSOWP,.7,"One Hole Wrap Around Strap CPVC Erico 10",Blk,$0.46,09-005-2-04-1-0007
576061,E1070100EG,HPSOWP,1,"One Hole Wrap Around Strap CPVC Erico 10",Blk,$0.51,09-005-2-04-1-0010
576062,E1070125EG,HPSOWP,1.2,"One Hole Wrap Around Strap CPVC Erico 10",Blk,$0.75,09-005-2-04-1-0013
576063,E1070150EG,HPSOWP,1.5,"One Hole Wrap Around Strap CPVC Erico 10",Blk,$0.85,09-005-2-04-1-0015
576064,E1070200EG,HPSOWP,2,"One Hole Wrap Around Strap CPVC Erico 10",Blk,$0.96,09-005-2-04-1-0020
576030,E1080075EG,HPSTHP,.7,"Two Hole Pipe Clamp CPVC Erico 108",Blk,$0.69,09-005-2-01-1-0007
576031,E1080100EG,HPSTHP,1,"Two Hole Pipe Clamp CPVC Erico 108",Blk,$0.75,09-005-2-01-1-0010
576032,E1080125EG,HPSTHP,1.2,"Two Hole Pipe Clamp CPVC Erico 108",Blk,$0.82,09-005-2-01-1-0013
576033,E1080150EG,HPSTHP,1.5,"Two Hole Pipe Clamp CPVC Erico 108",Blk,$0.86,09-005-2-01-1-0015
576050,E1090075EG,HCSMP,.7,"Sidemount Strap CPVC Erico 109",Blk,$0.93,09-005-2-03-1-0007
576051,E1090100EG,HCSMP,1,"Sidemount Strap CPVC Erico 109",Blk,$0.96,09-005-2-03-1-0010
576052,E1090125EG,HCSMP,1.2,"Sidemount Strap CPVC Erico 109",Blk,$1.01,09-005-2-03-1-0013
576399,E1150075EG,HRING,.7,"RING HANGER F/P",Blk,$0.45,09-001-1-01-1-0007
576401,E1150100EG,HRING,1,"RING HANGER F/P",Blk,$0.46,09-001-1-01-1-0010
576402,E1150125EG,HRING,1.2,"RING HANGER F/P",Blk,$0.46,09-001-1-01-1-0013
576403,E1150150EG,HRING,1.5,"RING HANGER F/P",Blk,$0.48,09-001-1-01-1-0015
576404,E1150200EG,HRING,2,"RING HANGER F/P",Blk,$0.48,09-001-1-01-1-0020
576405,E1150250EG,HRING,2.5,"RING HANGER F/P",Blk,$1.20,09-001-1-01-1-0025
576406,E1150300EG,HRING,3,"RING HANGER F/P",Blk,$1.21,09-001-1-01-1-0030
576407,E1150400EG,HRING,4,"RING HANGER F/P",Blk,$1.32,09-001-1-01-1-0040
576408,E1150600EG,HRING,6,"RING HANGER F/P",Blk,$3.33,09-001-1-01-1-0060
576409,E1150800EG,HRING,8,"RING HANGER F/P",Blk,$3.98,09-001-1-01-1-0080
576130,E3000037PL,HBC,.38,"Beam Clamp Sm Mouth Erico 300",Blk,$1.14,09-002-4-01-1-0004
576131,E3000050PL,HBC,.5,"Beam Clamp Sm Mouth Erico 300",Blk,$3.00,09-002-4-01-1-0005
,E4010600EG,,,"6 PLTD ADJ STD CLEVIS HGR",,$10.57,
577023,E5100200EG,HCLMPRE,2,"Riser Clamp Erico 510",Glv,$4.92,09-002-2-02-2-0020
575023,E5100250EG,HCLMPRE,2.5,"Riser Clamp Erico 510",Glv,$5.33,09-002-2-02-2-0025
575024,E5100300EG,HCLMPRE,3,"Riser Clamp Erico 510",Glv,$5.39,09-002-2-02-2-0030
575025,E5100400EG,HCLMPRE,4,"Riser Clamp Erico 510",Glv,$9.31,09-002-2-02-2-0040
575027,E5100600EG,HCLMPRE,6,"Riser Clamp Erico 510",Glv,$12.81,09-002-2-02-2-0060
575028,E5100800EG,HCLMPRE,8,"Riser Clamp Erico 510",Glv,$22.77,09-002-2-02-2-0080
,ECSBQG0250EG,,,"2-1/2 QCK GRIP LAT SWAY BRACE EG",,$17.26,
,ECSBQG0300EG,,,"3 QCK GRIP LAT SWAY BRACE EG",,$17.51,
,ECSBQG0800EG,,,"8 QCK GRIP LAT SWAY BRACE EG",,$31.50,
HUSAE1,ECSBUNIV050EG,HUSAE,.5,"Universal Structual Attach  Erico EG",Blk,$7.87,09-004-1-17-1-0005
522712,EDW1212PCSDL,ADSP,12  x 12,"ACCESS DOOR SDL PRIMER",Blk,$27.93,11-006-1-01-1-C0C0
522716,EDW1218CPSDL,ADSP,12  x 18,"ACCESS DOOR SDL PRIMER",Blk,$38.58,11-006-1-01-1-C0J0
,EDW1224PCSDL,,,"12X24 P/C SDL DRYWL ACC DR",,$34.57,
,EDW1414PCSDL,,,"14X14 DRYWL ACC DR",,$31.06,
,EDW1420PCSDL,,,"14X20 DRYWL ACC DR DW SER",,$53.72,
,EDW1424PCSDL,,,"14X24 P/C SDL DRYWL ACC DR",,$57.41,
,EDW88PCSDL,,,"8X8 DRWL ACC DR",,$32.93,
576160,ESOSR075,HCESO,.7,"Stand Off Hanger 2H CPVC",Blk,$1.28,09-010-5-08-1-0007
576162,ESOSR100,HCESO,1,"Stand Off Hanger 2H CPVC",Blk,$1.38,09-010-5-08-1-0010
576164,ESOSR125,HCESO,1.2,"Stand Off Hanger 2H CPVC",Blk,$1.48,09-010-5-08-1-0013
576166,ESOSR150,HCESO,1.5,"Stand Off Hanger 2H CPVC",Blk,$1.57,09-010-5-08-1-0015
576168,ESOSR200,HCESO,2,"Stand Off Hanger 2H CPVC",Blk,$1.86,09-010-5-08-1-0020
,ESR6,,,"1/2 - 2 SURGE REST CLIP",,$1.48,
522606,F0120200,WPHG,1,"HEAVY GAUGE WALL PLATE",Blk,$1.45,15-001-2-03-1-0010
522607,F0120300,WPHG,1.2,"HEAVY GAUGE WALL PLATE",Blk,$1.77,15-001-2-03-1-0013
522608,F0120400,WPHG,1.5,"HEAVY GAUGE WALL PLATE",Blk,$2.00,15-001-2-03-1-0015
522609,F0120500,WPHG,2,"HEAVY GAUGE WALL PLATE",Blk,$2.07,15-001-2-03-1-0020
522610,F0120600,WPHG,2.5,"HEAVY GAUGE WALL PLATE",Blk,$2.36,15-001-2-03-1-0025
522611,F0120700,WPHG,3,"HEAVY GAUGE WALL PLATE",Blk,$3.43,15-001-2-03-1-0030
522612,F0120800,WPHG,4,"HEAVY GAUGE WALL PLATE",Blk,$4.65,15-001-2-03-1-0040
522614,F0121000,WPHG,6,"HEAVY GAUGE WALL PLATE",Blk,$8.57,15-001-2-03-1-0060
522615,F0121100,WPHG,8,"HEAVY GAUGE WALL PLATE",Blk,$16.03,15-001-2-03-1-0080
522603,F0123500,WPWP,1.2,"IPS WHT PLASTIC WALL PLATE",Blk,$0.35,15-001-1-01-1-0013
52262A,F0130000,WPCI,1,"CI CEILING / WALL PLATE",Glv,$4.07,15-001-2-04-2-0010
52262B,F0130100,WPCI,1.2,"CI CEILING / WALL PLATE",Glv,$4.36,15-001-2-04-2-0013
52262D,F0130300,WPCI,2,"CI CEILING / WALL PLATE",Glv,$5.93,15-001-2-04-2-0020
500545,F0140000,C2PRC,.5,"2PC CANOPY RECESSED- CHROME",Blk,$0.65,13-002-2-01-1-0005
500546,F0140200,C2PRW,.5,"2PC CANOPY RECESSED WHITE",Blk,$0.65,13-002-2-02-1-0005
500548,F0141200,C2PRC,.7,"2PC CANOPY RECESSED- CHROME",Blk,$0.65,13-002-2-01-1-0007
500550,F0141400,C2PRW,.7,"2PC CANOPY RECESSED WHITE",Blk,$0.65,13-002-2-02-1-0007
500660,F0150000,CSO2PC,,"SKIRT ONLY FOR 2 PC CANOPY-CHROME",Blk,$0.52,13-002-2-04-1-0000
500662,F0150200,CSO2PW,,"SKIRT ONLY FOR 2PC CANOPY-WHITE",Blk,$0.52,13-002-2-05-1-0000
500666,F0150400,CSO2POW,,"SKIRT ONLY FOR 2PC CANOPY- OFF WHT",Blk,$0.52,13-002-2-06-1-0000
500670,F0160000,CCO2PC,.5,"CUP ONLY FOR 2 PC CANOPY-CHROME",Blk,$0.52,13-002-2-07-1-0005
500672,F0160200,CCO2PW,.5,"CUP ONLY FOR 2PC CANOPY-WHITE",Blk,$0.52,13-002-2-08-1-0005
500676,F0160400,CCO2PCOW,.5,"CUP ONLY FOR 2PC CANOPY-OFF WHT",Blk,$0.52,13-002-2-09-1-0005
500680,F0162000,CCO2PC,.7,"CUP ONLY FOR 2 PC CANOPY-CHROME",Blk,$0.52,13-002-2-07-1-0007
500673,F0162200,CCO2PW,.7,"CUP ONLY FOR 2PC CANOPY-WHITE",Blk,$0.52,13-002-2-08-1-0007
522909,F0201800,SIAT,,"SIGN. ALARM TEST 6 X 2",Blk,$0.54,07-003-2-07-1-0000
522905,F0202200,SIAF,,"SIGN, ANTI FREEZE 6 X 2",Blk,$0.54,07-003-2-04-1-0000
522910,F0202600,SIAD,,"SIGN, AUXILIARY DRAIN 6 X 2",Blk,$0.54,07-003-2-08-1-0000
522915,F0203400,SICV,,"SIGN, CONTROL VALVE 6 X 2",Blk,$0.54,07-003-2-09-1-0000
522919,F0204600,SIDV,,"SIGN, DRAIN VALVE 6 X 2",Blk,$0.54,07-003-2-11-1-0000
,F0206000,,,"6X2 FIRE SPKLR RSR INSIDE SIGN",,$0.54,
522930,F0207400,SIIT,,"SIGN, INSPECTORS TEST 6 X 2",Blk,$0.54,07-003-2-15-1-0000
522925,F0207700,SIHS,,"SIGN HYDRALIC SYSTEM 4.5 X 6",Blk,$1.58,07-003-1-04-1-0000
522926,F0207900,SIDHSF,,"DECAL HYDRALIC SYSTEM FOIL",Blk,$1.18,07-003-1-05-1-0000
522940,F0208200,SIMC,,"SIGN, MAIN CONTROL 6 X 2",Blk,$0.54,07-003-2-17-1-0000
522920,F0208600,SIMD,,"SIGN, MAIN DRAIN 6 X 2",Blk,$0.54,07-003-2-12-1-0000
,F0209200,,,"6X2 NORMALLY CLOSED SIGN",,$0.54,
,F0209600,,,"6X2 NORMALLY OPEN SIGN",,$0.54,
522931,F0212000,SITD,,"SIGN, TEST & DRAIN 6 X 2",Blk,$0.54,07-003-2-16-1-0000
,F0220000,,,"100 SIGN CHAIN",,$17.60,
522995,F02200FT,SCCPF,,"SIGN CHAIN PER FOOT",Blk,$0.18,07-003-3-02-1-0000
522805,F0240000,SHC,12,"SPRINKLER HEAD CABINET",Blk,$9.16,07-002-1-01-1-0120
522800,F0240100,SHC,6,"SPRINKLER HEAD CABINET",Blk,$8.10,07-002-1-01-1-0060
522803,F0240200,SHC,3,"SPRINKLER HEAD CABINET",Blk,$5.40,07-002-1-01-1-0030
,F0241000,,,"BRS BREAK LCK SHACKLE",,$6.50,
,F0241100,,,"MSTR BREAK SHACKLE LCK KA",,$9.94,
,F0245000,,,"10 120VAC ALRM BELL",,$28.47,
,F0245200,,,"6 120VAC ALRM BELL",,$22.09,
521150,F0245400,ABBWP,,"ALARM BELL BOX BBK-1 WEATHERPROOF",Blk,$6.95,05-002-1-03-1-0000
522505,F0260000,SHGC4.2,,"SPRINKLER HEAD GUARD 4 1/4" CAGE",Blk,$0.92,13-001-1-01-1-0000
522509,F0260500,SHGWBC,,"1/2 - 3/4 1PC 2HOOK HD GUARD CP",Blk,$1.01,13-001-1-04-1-0000
,F0261500,,,"1PC 2HOOK HEADGUARD W/WTR SHLD RED.",,$1.49,
,F0263000,,,"1/2 IPS 2PC ADJ BSE RED. HEADGUARD",,$2.64,
,F0312100,,,"3/4X520 TEF TAPE",,$0.67,
PFTSQT,F0313500,PFTSQT,,"PIPEFIT THREAD SEALANT QT",Blk,$20.84,11-001-1-14-1-0000
,F0316010,,,"1 GAL THREADFIT CUT OIL CLR",Glv,$26.67,
,F0317000,,,"PIPEFIT PAINT MRKR YELL",,$5.38,
,F0650400,,,"1-1/2 BRZ SS FNPT 300# BFV",,$185.97,
,F0650600,,,"2 BRZ SS FNPT 300# BFV",,$218.69,
530760,F0660000,V3WAY,.2,"1/4" 3-Way Test Valve",Brass,$9.19,06-002-6-04-1-0002
530302,F0680400,VGLBI,1,"GLOBE VALVE IMPORT",Blk,$19.95,06-002-1-03-1-0010
530205,F0681000,VGLBI,2,"GLOBE VALVE IMPORT",Blk,$64.93,06-002-1-03-1-0020
530130,F0683000,VANGI,2,"ANGLE VALVE IMPORT UL",Blk,$69.96,06-002-2-02-1-0020
,F0683500,,,"*NP 1/2 ADJ PRES REL VLV",,$16.98,
530991,F0686000,CVRSI,.5,"R/S CHECK VALVE 200 PSI IMPORT",Blk,$11.22,06-002-5-03-1-0005
,F0686050,,,"*NP 1/2 BRZ THRD SWG CHK 3/32 ORF",,$11.22,
530993,F0686400,CVRSI,1,"R/S CHECK VALVE 200 PSI IMPORT",Blk,$25.82,06-002-5-03-1-0010
530994,F0686600,CVRSI,1.2,"R/S CHECK VALVE 200 PSI IMPORT",Blk,$33.30,06-002-5-03-1-0013
530995,F0686800,CVRSI,1.5,"R/S CHECK VALVE 200 PSI IMPORT",Blk,$47.72,06-002-5-03-1-0015
530996,F0687000,CVRSI,2,"R/S CHECK VALVE 200 PSI IMPORT",Blk,$68.35,06-002-5-03-1-0020
602630,F0700000,FHAVFM,2.5,"ANGLE HOSE VALVE FPT X MNST",Blk,$123.49,22-002-1-02-1-0025
,F0700800,,,"*NP 2-1/2 FNPT X MALE PHNX HOSE VLV",,$127.46,
HV0001,F0702200,FHVFM,1.5,"HOSE VALVE RB FXM NST",Blk,$69.53,22-002-2-04-1-0015
603102,F0725000,FDCC,2.5,"Cap Feamale Thrd NST For FDC",Brass,$15.42,23-004-5-01-1-0025
,F0725800,,,"2-1/2 PHX BRZ CAP W/CHAIN",,$16.05,
603101,F0727000,FDCC,1.5,"Cap Feamale Thrd NST For FDC",Brass,$10.98,23-004-5-01-1-0015
603116,F0728000,FDCPHCW,2.5,"Plastic Hydrant Caps W/Chain",Blk,$4.13,23-004-5-03-1-0025
,F0728100,,,"2-1/2 NST ABS PLUG & CHAIN",,$5.44,
,F0742000,,,"2-1/2X1-1/2 FNST X MNST RED",,$19.90,
603020,F0745000,FDCPWC,2.5,"Plug & Chain MIP NST For FDC",Brass,$28.78,23-003-1-02-1-0025
,F0745800,,,"2-1/2 CB PLG W/CHAIN PHX",,$20.47,
,F0750000,,,"1-1/2 RED. LEXAN FOG NOZ",,$14.53,
,F0760200,,,"1-1/2 X 75 FT ULFM RACK HOSE *Z",,$136.20,
,F0760400,,,"1-1/2 X 100 FT ULFM RACK HOSE *Z",,$168.58,
,F0792000,,,"2-1/2 SWVL GSKT",,$1.54,
,F0793400,,,"1-1/2 NST RACK NIP",,$17.70,
530700,F0853000,SG,1,"SIGHT GLASS 1/2"",Blk,$31.56,07-001-1-01-1-0010
,F0853900,,,"*NP 1/2 BRS IPS UNION X 3/32 ORFC",Brass,$8.75,
,F0854100,,,"3/4 IPS BRS BALL DRIP",Brass,$16.35,
602900,F0900000,FDCSP,,"F D C 4x2.5x2.5 Siamese STR NST",Blk,$109.66,23-001-2-01-1-0000
,F0901000,,,"4X2-1/2X2-1/2 RB STRT SGL CLPR TMP",,$116.60,
602910,F0902000,FDC90,,"F D C Siamese 90 Deg NST 4x2.5x2.5",Blk,$126.58,23-002-1-01-1-0000
,F0905800,,,"4X2-1/2X2-1/2 FDC 90 SIA PHX SWVL",,$132.14,
,F0907000,,,"4X2-1/2X2-1/2 STRT SGL CLAP GRV",,$147.31,
,F0942500,,,"2-1/2 SWVL ASSY",,$25.69,
,F0942504,,,"2-1/2 SWVL ASSY *PHOENI",,$26.95,
,F0950200,,,"1-1/2 SGL/OUT FDC W/PLUG",,$56.35,
603991,F0950500,FDCCPM,,"Cap Metal FDC Breakable Pair",Blk,$5.11,23-004-5-09-1-0000
603992,F0950600,FDCCPP,,"Cap Plastic FDC Breakable Pair",Blk,$2.09,23-004-5-06-1-0000
522900,F0950800,SIFDCAR,,"4" ROUND RED ALUM FDC SIGN",Blk,$8.90,07-003-1-13-1-0000
522907,F0950900,SIFDC,,"SIGN FDC 4 X 8",Blk,$8.09,07-003-1-03-1-0000
522976,F0952000,ASER,2.5,"AUTO SPKR ESCUTCHEON",Brass,$17.36,07-004-1-01-1-0025
602810,F0960000,FDC2.5FF,,"F D C 2.5 SGL Swiv FNST x  FPT",Blk,$54.25,23-001-1-01-1-0000
,F0960800,,,"2-1/2 FNPT X FPHX BRS OPEN SNOOT",Brass,$46.34,
,F0965000,,,"2-1/2 NST BRS OPEN SNOOT ASSY",Brass,$108.12,
,F900800,,,"4X2-1/2X2-1/2 FDC STRT PHX THRD",,$116.60,
,F9X,,,"8 DI 125# C110 FLG 90 BEND",,$401.56,
530150,FNW410AD,VBFP,.5,"BALL VALVE FULL PORT UL/FM",Brass,$7.99,06-002-3-11-1-0005
530151,FNW410AF,VBFP,.7,"BALL VALVE FULL PORT UL/FM",Brass,$11.37,06-002-3-11-1-0007
530152,FNW410AG,VBFP,1,"BALL VALVE FULL PORT UL/FM",Brass,$17.54,06-002-3-11-1-0010
530153,FNW410AH,VBFP,1.2,"BALL VALVE FULL PORT UL/FM",Brass,$29.60,06-002-3-11-1-0013
530154,FNW410AJ,VBFP,1.5,"BALL VALVE FULL PORT UL/FM",Brass,$41.16,06-002-3-11-1-0015
530155,FNW410AK,VBFP,2,"BALL VALVE FULL PORT UL/FM",Brass,$61.28,06-002-3-11-1-0020
,FNW7010EP0075,,,"3/4 EPOX PLTD ADJ SWVL RNG HGR",,$1.52,
HFNW02,FNW7010NZ0075,HRINGFNW,.7,"Ring Hanger FNW",Blk,$0.44,09-001-1-11-1-0007
,FNW7010Z0075,,,"3/4 GALV ADJ SWVL RNG HGR",Glv,$0.55,
,FNW7022EP0600,,,"6 EPOX PLTD RSR CLMP",,$18.11,
578484,FNW7821Z0037,NUTSWS,.38,"PLTD CHAN NUT W/REG SPRG",Blk,$1.43,10-002-3-03-1-0004
578485,FNW7821Z0050,NUTSWS,.5,"PLTD CHAN NUT W/REG SPRG",Blk,$1.66,10-002-3-03-1-0005
HPSC01,FNW7873Z0050,HPRSC,.5,"IPS Pltd Rigid Strut Clmp",Blk,$2.70,09-002-3-02-1-0005
HPSC02,FNW7873Z0075,HPRSC,.7,"IPS Pltd Rigid Strut Clmp",Blk,$2.74,09-002-3-02-1-0007
HPSC03,FNW7873Z0100,HPRSC,1,"IPS Pltd Rigid Strut Clmp",Blk,$3.09,09-002-3-02-1-0010
HPSC04,FNW7873Z0125,HPRSC,1.2,"IPS Pltd Rigid Strut Clmp",Blk,$3.47,09-002-3-02-1-0013
HPSC05,FNW7873Z0150,HPRSC,1.5,"IPS Pltd Rigid Strut Clmp",Blk,$4.40,09-002-3-02-1-0015
HPSC06,FNW7873Z0200,HPRSC,2,"IPS Pltd Rigid Strut Clmp",Blk,$4.94,09-002-3-02-1-0020
HPSC07,FNW7873Z0250,HPRSC,2.5,"IPS Pltd Rigid Strut Clmp",Blk,$5.40,09-002-3-02-1-0025
HPSC08,FNW7873Z0300,HPRSC,3,"IPS Pltd Rigid Strut Clmp",Blk,$5.60,09-002-3-02-1-0030
HPSC09,FNW7873Z0400,HPRSC,4,"IPS Pltd Rigid Strut Clmp",Blk,$7.60,09-002-3-02-1-0040
HPSC10,FNW7873Z0600,HPRSC,6,"IPS Pltd Rigid Strut Clmp",Blk,$16.14,09-002-3-02-1-0060
HPSC11,FNW7873Z0800,HPRSC,8,"IPS Pltd Rigid Strut Clmp",Blk,$24.05,09-002-3-02-1-0080
,FNW9101P,,,"RSR GA KIT BLK",,$29.93,
578251,FNWFLWZ12,WSHRPK,.5,"FLAT WASHER PACK",Blk,$15.02,10-003-1-02-1-0005
578250,FNWFLWZ38,WSHRPK,.38,"FLAT WASHER PACK",Blk,$6.32,10-003-1-02-1-0004
578254,FNWFLWZ58,WSHRPK,.88,"FLAT WASHER PACK",Blk,$29.90,10-003-1-02-1-0009
,FNWLFG0300L,,,"*NP 2-1/2 SS / BR LIQ FILL GA 0-300",,$28.77,
